merge_key,has_xml,has_html,has_ocr,has_pdf,chars_xml,chars_html,chars_ocr,chars_pdf
축산물품질평가원_꿀_품질평가_전산시스템_기능개선_사업,1,1,1,0,70799,74935,0,0
축산물품질평가원_축산물이력관리시스템_개선_정보화_사업,1,1,1,0,72468,76995,0,0
케빈랩_주식회사_평택시_강소형_스마트시티_ai_기반의_영상감시_시스템,0,1,0,0,0,49164,0,0
파주도시관광공사_종량제봉투_판매관리_전산시스템_개선사업,1,1,1,0,82289,86370,0,0
한국가스공사_재공고_차세대_통합정보시스템_erp_구축,0,1,0,0,0,102607,0,0
한국건강가정진흥원_2025년_아이돌봄인력_인적성_검사_정보시스템_운영,1,1,1,0,62370,65715,0,0
한국교육과정평가원_국가교육과정정보센터_ncic_시스템_운영_및_개선,1,1,1,0,42719,45137,0,0
한국농수산식품유통공사_농산물가격안정기금_정부예산회계연계시스템,0,1,0,0,0,65373,0,0
한국농어촌공사_네팔_수자원관리_정보화사업_pilot_시스템_구축용역,1,1,1,0,75141,79271,0,0
한국농어촌공사_아세안_3_식량안보정보시스템_afsis_3단계_협력_캄보디아,1,1,1,0,103183,0,0,0
한국로봇산업진흥원_한국로봇산업진흥원_사업관리시스템_온라인평가,0,1,0,0,0,51217,0,0
한국발명진흥회_입찰공고_2024년_건설기술에_관한_특허_실용신안_활용실,0,1,0,0,0,58046,0,0
한국보건산업진흥원_의료기기산업_종합정보시스템_정보관리기관_기능,0,1,0,0,0,71994,0,0
한국보육진흥원_연차별_자율_품질관리_시스템_기능개선,1,1,1,0,61755,65058,0,0
한국사학진흥재단_대학재정정보시스템_기본재산_및_기채_사후관리_고,1,1,1,0,98166,103658,0,0
한국사회보장정보원_라오스_보건의료정보화_협력을_위한_사전타당성_조,1,1,1,0,49211,52770,0,0
한국산업단지공단_산단_안전정보시스템_1차_구축_용역,1,1,1,0,86465,91911,0,0
한국산업인력공단_rfid기반_국가자격_시험_결과물_스마트_관리시스템_도,1,1,1,0,47698,50585,0,0
한국생산기술연구원_2세대_전자조달시스템_기반구축사업,1,1,1,0,69094,72952,0,0
한국생산기술연구원_eip3_0_고압가스_안전관리_시스템_구축_용역,0,1,0,0,0,102357,0,0
한국수자원공사_건설통합시스템_cms_고도화,1,1,1,0,60842,64881,0,0
한국수자원공사_수도사업장_통합_사고분석솔루션_시범구축_용역,1,1,1,0,55482,58856,0,0
한국수자원공사_용인_첨단_시스템반도체_국가산단_용수공급사업_타당성,1,1,1,0,47540,49363,0,0
한국수자원조사기술원_수문자료정보관리시스템_hdims_재구축_용역_3단계,0,1,0,0,0,74031,0,0
한국수출입은행_긴급_모잠비크_마푸토_지능형교통시스템_its_구축사업,0,1,0,0,0,71876,0,0
한국어촌어항공단_한국어촌어항공단_경영관리시스템_erp_gw_기능_고도,1,1,1,0,79388,84583,0,0
한국연구재단_2024년_기초학문자료센터_시스템_운영_및_연구성과물_db구,0,1,0,0,0,69004,0,0
한국연구재단_2024년_대학산학협력활동_실태조사_시스템_uicc_기능개선,0,1,0,0,0,69792,0,0
한국원자력연구원_한국원자력연구원_선량평가시스템_고도화,1,1,1,0,42280,44466,0,0
한국재정정보원_e나라도움_업무시스템_웹_접근성_컨설팅,1,1,1,0,70162,73589,0,0
한국전기안전공사_전기안전_관제시스템_보안_모듈_개발_용역,0,1,0,0,0,50279,0,0
한국지식재산보호원_ip_navi_해외지식재산센터_사업관리_시스템_기능개,0,1,0,0,0,53075,0,0
한국철도공사_용역_모바일오피스_시스템_고도화_용역_총체_및_1차,1,1,1,0,128421,136102,0,0
한국철도공사_용역_예약발매시스템_개량_ismp_용역,0,1,0,0,0,74947,0,0
한국철도공사_용역_재공고_긴급_협상형_운행정보기록_자동분석시스,1,1,1,0,105694,111648,0,0
한국한의학연구원_통합정보시스템_고도화_용역,0,1,0,0,0,61896,0,0
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,0,1,0,0,0,60596,0,0
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,0,1,0,0,0,43870,0,0
한국철도공사_용역_예약발매시스템_개량_ismp_용역,1,0,1,0,70672,0,0,0
한국철도공사_용역_예약발매시스템_개량_ismp_용역_859d37,0,0,1,0,0,0,0,0
한국한의학연구원_통합정보시스템_고도화_용역,1,0,1,0,57663,0,0,0
한국한의학연구원_통합정보시스템_고도화_용역_629a83,0,0,1,0,0,0,0,0
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축,1,0,1,0,57342,0,0,0
한국해양조사협회_2024년_항해용_간행물_품질관리_업무보조_시스템_구축_a2ff76,0,0,1,0,0,0,0,0
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보,1,0,1,0,41809,0,0,0
한영대학_한영대학교_특성화_맞춤형_교육환경_구축_트랙운영_학사정보_c4b1f0,0,0,1,0,0,0,0,0
