merge_key,doc_id,len_xml,len_html,len_ocr,len_pdf,len_merged
서민금융진흥원_서민금융진흥원_서민금융_채팅_상담시스템_구축,서민금융진흥원_서민금융진흥원 서민금융 채팅 상담시스템 구축,76286,0,0,0,76286
서영대학교_산학협력단_전문대학_혁신지원사업_서영대학교_차세대_교육,서영대학교 산학협력단_전문대학 혁신지원사업 서영대학교 차세대 교육,90433,0,0,0,90433
서울시립대학교_사전공개_학업성취도_다차원_종단분석_통합시스템_1차,서울시립대학교_[사전공개] 학업성취도 다차원 종단분석 통합시스템 1차,0,0,0,109734,92680
서울특별시_2024년_지도정보_플랫폼_및_전문활용_연계_시스템_고도화_용,서울특별시_2024년 지도정보 플랫폼 및 전문활용 연계 시스템 고도화 용,0,0,0,115133,95319
서울특별시_여성가족재단_재공고_협상_서울_디지털성범죄_안심지원센,"서울특별시 여성가족재단_(재공고, 협상) 서울 디지털성범죄 안심지원센",0,109468,0,0,109468
서울특별시교육청_서울특별시교육청_지능정보화전략계획_isp_수립_2차,서울특별시교육청_서울특별시교육청 지능정보화전략계획(ISP) 수립(2차),60206,0,0,0,60206
세종테크노파크_세종테크노파크_인사정보_전산시스템_구축_용역_입찰공,세종테크노파크_세종테크노파크 인사정보 전산시스템 구축 용역 입찰공,67854,0,0,0,67854
수협중앙회_강릉어선안전조업국_상황관제시스템_구축,수협중앙회_강릉어선안전조업국 상황관제시스템 구축,0,49963,0,0,49963
수협중앙회_수협중앙회_수산물사이버직매장_시스템_재구축_ismp_수립_입,수협중앙회_수협중앙회 수산물사이버직매장 시스템 재구축 ISMP 수립 입,63364,0,0,0,63364
울산광역시_2024년_버스정보시스템_확대_구축_및_기능개선_용역,울산광역시_2024년 버스정보시스템 확대 구축 및 기능개선 용역,108353,0,0,0,108353
을지대학교_을지대학교_비교과시스템_개발,을지대학교_을지대학교 비교과시스템 개발,67906,0,0,0,67906
인천공항운영서비스_주_인천공항운영서비스_차세대_erp시스템_구축,인천공항운영서비스(주)_인천공항운영서비스㈜ 차세대 ERP시스템 구축,54100,0,0,0,54100
인천광역시_도시계획위원회_통합관리시스템_구축용역,인천광역시_도시계획위원회 통합관리시스템 구축용역,0,65832,0,0,65832
인천광역시_동구_수도국산달동네박물관_전시해설_시스템_구축_협상에,인천광역시 동구_수도국산달동네박물관 전시해설 시스템 구축(협상에,67336,0,0,0,67336
인천광역시_인천일자리플랫폼_정보시스템_구축_isp_수립용역,인천광역시_인천일자리플랫폼 정보시스템 구축 ISP 수립용역,0,65265,0,0,65265
재_예술경영지원센터_통합_정보시스템_구축_사전_컨설팅,(재)예술경영지원센터_통합 정보시스템 구축 사전 컨설팅,0,44125,0,0,44125
재단법인_광주광역시_광주문화재단_2024년_광주문화예술통합플랫폼_시스,재단법인 광주광역시 광주문화재단_2024년 광주문화예술통합플랫폼 시스,0,66328,0,0,66328
재단법인_광주연구원_광주정책연구아카이브_gpa_시스템_개발,재단법인 광주연구원_광주정책연구아카이브(GPA) 시스템 개발,68942,0,0,0,68942
재단법인_한국장애인문화예술원_2024년_장애인문화예술정보시스템_이음,재단법인 한국장애인문화예술원_2024년 장애인문화예술정보시스템 이음,47168,0,0,0,47168
재단법인경기도일자리재단_2025년_통합접수시스템_운영,재단법인경기도일자리재단_2025년 통합접수시스템 운영,0,111240,0,0,111240
재단법인스포츠윤리센터_스포츠윤리센터_lms_학습지원시스템_기능개선,재단법인스포츠윤리센터_스포츠윤리센터 LMS(학습지원시스템) 기능개선,73934,0,0,0,73934
재단법인충북연구원_gis통계_기반_재난안전데이터_분석ㆍ관리_시스템_구,재단법인충북연구원_GIS통계 기반 재난안전데이터 분석ㆍ관리 시스템 구,0,45299,0,0,45299
전북대학교_jst_공유대학_원_xapi기반_lrs시스템_구축,전북대학교_JST 공유대학(원) xAPI기반 LRS시스템 구축,71275,0,0,0,71275
전북특별자치도_정읍시_정읍체육트레이닝센터_통합운영관리시스템_구,전북특별자치도 정읍시_정읍체육트레이닝센터 통합운영관리시스템 구,0,102081,0,0,102081
조선대학교_재공고_2024_조선대학교_sw중심대학_사업관리시스템_wehub_구,조선대학교_(재공고)2024 조선대학교 SW중심대학 사업관리시스템(WeHub) 구,44424,0,0,0,44424
중앙선거관리위원회_2025년도_행정정보시스템_위탁운영사업,중앙선거관리위원회_2025년도 행정정보시스템 위탁운영사업,79550,0,0,0,79550
축산물품질평가원_꿀_품질평가_전산시스템_기능개선_사업,축산물품질평가원_꿀 품질평가 전산시스템 기능개선 사업,70799,0,0,0,70799
축산물품질평가원_축산물이력관리시스템_개선_정보화_사업,축산물품질평가원_축산물이력관리시스템 개선(정보화 사업),72468,0,0,0,72468
케빈랩_주식회사_평택시_강소형_스마트시티_ai_기반의_영상감시_시스템,케빈랩 주식회사_평택시 강소형 스마트시티 AI 기반의 영상감시 시스템 ,0,49164,0,0,49164
파주도시관광공사_종량제봉투_판매관리_전산시스템_개선사업,파주도시관광공사_종량제봉투 판매관리 전산시스템 개선사업,82289,0,0,0,82289
